year,environment_authority,region,department,municipality,category,sector,result
2016,CORPONARIÑO,Pacific,Nariño,El Tambo,Sustainable goods and services from natural resources,Biocommerce,Basic
2016,CORPONARIÑO,Pacific,Nariño,San Andrés de Tumaco,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CORPONARIÑO,Pacific,Nariño,San Andrés de Tumaco,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2016,CORPONARIÑO,Pacific,Nariño,Buesaco,Sustainable goods and services from natural resources,Sustainable agrosystems,Basic
2016,CORPONARIÑO,Pacific,Nariño,San Andrés de Tumaco,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORPONARIÑO,Pacific,Nariño,Pasto,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORPONARIÑO,Pacific,Nariño,Pupiales,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2016,CORPONARIÑO,Pacific,Nariño,Pasto,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CORPONARIÑO,Pacific,Nariño,Pasto,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CORPONARIÑO,Pacific,Nariño,San Andrés de Tumaco,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORPONARIÑO,Pacific,Nariño,Samaniego,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORPONARIÑO,Pacific,Nariño,San Andrés de Tumaco,Industrial eco-products,Waste recovery and valorization,Satisfactory
2016,CORPONARIÑO,Pacific,Nariño,Sandoná,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CORPONARIÑO,Pacific,Nariño,Pasto,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CORPONARIÑO,Pacific,Nariño,Pasto,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CORPONARIÑO,Pacific,Nariño,Chaguaní,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,San Juan de Urabá,Industrial eco-products,Waste recovery and valorization,Basic
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Dabeiba,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Necoclí,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Turbo,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Carepa,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Apartadó,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Giraldo,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Arboletes,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2017,CAR,Central,Cundinamarca,Villapinzón,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Uramita,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Necoclí,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Chigorodó,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Cañasgordas,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Carepa,Industrial eco-products,Waste recovery and valorization,Satisfactory
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Apartadó,Industrial eco-products,Waste recovery and valorization,Satisfactory
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Giraldo,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2016,CORPOURABÁ,Cofee belt and Antioquia,Antioquia,Carepa,Industrial eco-products,Waste recovery and valorization,Intermediate
2016,CORTOLIMA,Central,Tolima,Lérida,Industrial eco-products,Waste recovery and valorization,Satisfactory
2016,CVS,Caribbean,Córdoba,San Bernardo del Viento,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CORTOLIMA,Central,Tolima,Cajamarca,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORTOLIMA,Central,Tolima,Ibagué,Industrial eco-products,Waste recovery and valorization,Satisfactory
2016,CORTOLIMA,Central,Tolima,Ataco,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORTOLIMA,Central,Tolima,Ataco,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORTOLIMA,Central,Tolima,Chaparral,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORTOLIMA,Central,Tolima,Líbano,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2016,CORTOLIMA,Central,Tolima,Planadas,Sustainable goods and services from natural resources,Sustainable agrosystems,Advanced
2016,CORTOLIMA,Central,Tolima,Planadas,Sustainable goods and services from natural resources,Sustainable agrosystems,Advanced
2016,CORTOLIMA,Central,Tolima,Planadas,Sustainable goods and services from natural resources,Sustainable agrosystems,Ideal
2016,CORTOLIMA,Central,Tolima,Planadas,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CORTOLIMA,Central,Tolima,Ibagué,Industrial eco-products,Waste recovery and valorization,Intermediate
2016,CORTOLIMA,Central,Tolima,Anzoátegui,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CORTOLIMA,Central,Tolima,Líbano,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CVS,Caribbean,Córdoba,Buenavista,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CORTOLIMA,Central,Tolima,Líbano,Sustainable goods and services from natural resources,Biocommerce,Advanced
2016,CRQ,Cofee belt and Antioquia,Quindio,Armenia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CRQ,Cofee belt and Antioquia,Quindio,Filandia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CRQ,Cofee belt and Antioquia,Quindio,La Tebaida,Industrial eco-products,Waste recovery and valorization,Satisfactory
2016,CRQ,Cofee belt and Antioquia,Quindio,Montenegro,Industrial eco-products,Waste recovery and valorization,Satisfactory
2016,CRQ,Cofee belt and Antioquia,Quindio,Quimbaya,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CRQ,Cofee belt and Antioquia,Quindio,Salento,Sustainable goods and services from natural resources,Biocommerce,Basic
2016,CRQ,Cofee belt and Antioquia,Quindio,Salento,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CRQ,Cofee belt and Antioquia,Quindio,Quimbaya,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CRQ,Cofee belt and Antioquia,Quindio,Calarcá,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CRQ,Cofee belt and Antioquia,Quindio,Calarcá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CRQ,Cofee belt and Antioquia,Quindio,Filandia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CRQ,Cofee belt and Antioquia,Quindio,Córdoba,Sustainable goods and services from natural resources,Biocommerce,Basic
2016,CRQ,Cofee belt and Antioquia,Quindio,Córdoba,Industrial eco-products,Waste recovery and valorization,Intermediate
2016,CRQ,Cofee belt and Antioquia,Quindio,Quimbaya,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CRQ,Cofee belt and Antioquia,Quindio,Quimbaya,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CRQ,Cofee belt and Antioquia,Quindio,Salento,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2016,CRQ,Cofee belt and Antioquia,Quindio,Montenegro,Industrial eco-products,Waste recovery and valorization,Satisfactory
2016,CRQ,Cofee belt and Antioquia,Quindio,Armenia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CRQ,Cofee belt and Antioquia,Quindio,Calarcá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CVC,Pacific,Valle Del Cauca,Cali,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CVC,Pacific,Valle Del Cauca,Jamundí,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CVC,Pacific,Valle Del Cauca,Cali,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CVC,Pacific,Valle Del Cauca,Yumbo,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CVC,Pacific,Valle Del Cauca,Jamundí,Sustainable goods and services from natural resources,Sustainable agrosystems,Advanced
2016,CVC,Pacific,Valle Del Cauca,Yumbo,Sustainable goods and services from natural resources,Sustainable agroindustry,Ideal
2016,CVC,Pacific,Valle Del Cauca,Dagua,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2016,CVS,Caribbean,Córdoba,Tierralta,Sustainable goods and services from natural resources,Sustainable agrosystems,Advanced
2016,CVS,Caribbean,Córdoba,Puerto Libertador,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CVS,Caribbean,Córdoba,Montería,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CVS,Caribbean,Córdoba,Ayapel,Sustainable goods and services from natural resources,Sustainable agrosystems,Ideal
2016,CVS,Caribbean,Córdoba,Ciénaga de Oro,Industrial eco-products,Waste recovery and valorization,Advanced
2016,CVS,Caribbean,Córdoba,Moñitos,Industrial eco-products,Waste recovery and valorization,Satisfactory
2016,CVS,Caribbean,Córdoba,San Andrés de Sotavento,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAM,Central,Huila,Colombia,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2016,CVS,Caribbean,Córdoba,Tierralta,Sustainable goods and services from natural resources,Sustainable agrosystems,Ideal
2016,CVS,Caribbean,Córdoba,Valencia,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CVS,Caribbean,Córdoba,Cotorra,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CVS,Caribbean,Córdoba,Moñitos,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CVS,Caribbean,Córdoba,Montería,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2016,CVS,Caribbean,Córdoba,Montería,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CVS,Caribbean,Córdoba,Pueblo Nuevo,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2016,CVS,Caribbean,Córdoba,Chinú,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2016,CVS,Caribbean,Córdoba,San Bernardo del Viento,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAM,Central,Huila,Palermo,Industrial eco-products,Waste recovery and valorization,Advanced
2017,CAM,Central,Huila,Tello,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CAM,Central,Huila,Palestina,Sustainable goods and services from natural resources,Sustainable agrosystems,Basic
2017,CAM,Central,Huila,Pitalito,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAM,Central,Huila,San Agustín,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2017,CAM,Central,Huila,Gigante,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAM,Central,Huila,Palestina,Sustainable goods and services from natural resources,Biocommerce,Advanced
2017,CAR,Central,Cundinamarca,Jerusalén,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Tabio,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Bituima,Sustainable goods and services from natural resources,Sustainable agrosystems,Ideal
2017,CAR,Central,Cundinamarca,Chía,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,Mosquera,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CAR,Central,Cundinamarca,Tenjo,Sustainable goods and services from natural resources,Biocommerce,Ideal
2017,CAR,Central,Cundinamarca,Guachetá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Ricaurte,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,"Bogotá, D.C.",Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Guatavita,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Chía,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CAR,Central,Cundinamarca,Arbeláez,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CAR,Central,Cundinamarca,Carmen de Carupa,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CAR,Central,Cundinamarca,Arbeláez,Industrial eco-products,Waste recovery and valorization,Intermediate
2017,CAR,Central,Cundinamarca,Fusagasugá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,San Francisco,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,Sasaima,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2017,CAR,Central,Cundinamarca,VIANÍ,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,Arbeláez,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CAR,Central,Cundinamarca,San Juan de Rioseco,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CAR,Central,Cundinamarca,Guaduas,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CAR,Central,Cundinamarca,Chaguaní,Sustainable goods and services from natural resources,Sustainable agroindustry,Ideal
2017,CAR,Central,Cundinamarca,Silvania,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,Silvania,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,Guatavita,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CAR,Central,Cundinamarca,Guaduas,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,"Bogotá, D.C.",Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Pacho,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CAR,Central,Cundinamarca,Zipaquirá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Cachipay,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,Chocontá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,La Calera,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,La Calera,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,La Palma,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,Subachoque,Sustainable goods and services from natural resources,Sustainable agrosystems,Ideal
2017,CAR,Central,Cundinamarca,Subachoque,Sustainable goods and services from natural resources,Sustainable agrosystems,Ideal
2017,CAR,Central,Cundinamarca,Fusagasugá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Saboyá,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CAR,Central,Cundinamarca,Anapoima,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Chocontá,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CAR,Central,Boyacá,Caldas,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Fusagasugá,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CAR,Central,Cundinamarca,Pacho,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CAR,Central,Cundinamarca,Fúquene,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Sibaté,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,Cogua,Sustainable goods and services from natural resources,Restoration businesses,Satisfactory
2017,CAR,Central,Cundinamarca,Fusagasugá,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CAR,Central,Cundinamarca,La Calera,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Boyacá,Ráquira,Sustainable goods and services from natural resources,Restoration businesses,Satisfactory
2017,CAR,Central,Cundinamarca,Cota,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAR,Central,Cundinamarca,Villeta,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,"Bogotá, D.C.",Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAR,Central,Cundinamarca,Guachetá,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2017,CAR,Central,Cundinamarca,Silvania,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Industrial eco-products,Waste recovery and valorization,Intermediate
2017,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2017,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2017,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CARDER,Cofee belt and Antioquia,Risaralda,Apía,Sustainable goods and services from natural resources,Biocommerce,Advanced
2017,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CARDER,Cofee belt and Antioquia,Risaralda,Guática,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CARDER,Cofee belt and Antioquia,Risaralda,Santa Rosa de Cabal,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CARDIQUE,Caribbean,Bolívar,Santa Catalina,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CARSUCRE,Caribbean,Sucre,Galeras,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CARSUCRE,Caribbean,Sucre,Santiago de Tolú,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CARSUCRE,Caribbean,Sucre,Colosó,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CARSUCRE,Caribbean,Sucre,Santiago de Tolú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAS,Santanderes,Santander,Páramo,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CAS,Santanderes,Santander,San Gil,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CAS,Santanderes,Santander,Charalá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAS,Santanderes,Santander,Curití,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CAS,Santanderes,Santander,Málaga,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Tadó,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Atrato,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Tadó,Sustainable goods and services from natural resources,Biocommerce,Advanced
2017,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Bahía Solano,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,El Litoral del San Juan,Sustainable goods and services from natural resources,Biocommerce,Advanced
2017,CODECHOCÓ,Pacific,Chocó,Quibdó,Industrial eco-products,Waste recovery and valorization,Intermediate
2017,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Other sustainable green goods and services,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2017,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Bahía Solano,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Acandí,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Bojayá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Acandí,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,San José del Palmar,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2017,CODECHOCÓ,Pacific,Chocó,Bojayá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Quibdó,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Acandí,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Acandí,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Bahía Solano,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Bahía Solano,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CODECHOCÓ,Pacific,Chocó,Bahía Solano,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CODECHOCÓ,Pacific,Chocó,Nuquí,Sustainable goods and services from natural resources,Biocommerce,Advanced
2017,CORMACARENA,NA,Meta,San Juan de Arama,Sustainable goods and services from natural resources,Sustainable agrosystems,Basic
2017,CORALINA,Seaflower,San Andrés y Providencia,Providencia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CORMACARENA,NA,Meta,San Juan de Arama,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2017,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CORALINA,Seaflower,San Andrés y Providencia,San Andrés,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CORMACARENA,NA,Meta,Villavicencio,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CORMACARENA,NA,Meta,Cumaral,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CORMACARENA,NA,Meta,Villavicencio,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORMACARENA,NA,Meta,Mesetas,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORMACARENA,NA,Meta,San Juan de Arama,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORMACARENA,NA,Meta,Cumaral,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2017,CORMACARENA,NA,Meta,San Juan de Arama,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CODECHOCÓ,Pacific,Chocó,Atrato,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CORMACARENA,NA,Meta,Acacías,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORMACARENA,NA,Meta,Villavicencio,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORMACARENA,NA,Meta,Puerto López,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CORMACARENA,NA,Meta,San Juan de Arama,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CORMACARENA,NA,Meta,Lejanías,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CORMACARENA,NA,Meta,Restrepo,Sustainable goods and services from natural resources,Biocommerce,Ideal
2017,CORPAMAG,Caribbean,Magdalena,Ciénaga,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORPAMAG,Caribbean,Magdalena,Santa Marta,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORPAMAG,Caribbean,Magdalena,Santa Marta,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CORPAMAG,Caribbean,Magdalena,Santa Marta,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CORPAMAG,Caribbean,Magdalena,Santa Marta,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
